time_period,mean_drift,p25_drift,p75_drift
0,0.0027707511312212857,0.0,0.004815693553058314
1,0.005126749213533384,0.001321466362829114,0.007802455949977799
2,0.0077112306141903985,0.003489107782907914,0.011206234461015367
3,0.010488754337082523,0.005598860466204846,0.014563096977979455
4,0.013197578798873292,0.007621171888601874,0.017879624340343604
5,0.015964056878283044,0.009790676649099944,0.021356150327308053
6,0.01871464347921885,0.01188759624942678,0.02465189774757911
7,0.021498004616752667,0.01400340039667254,0.02795547681124436
8,0.0242638925335515,0.016094193745682356,0.031180269980543674
9,0.027022301910595285,0.018404636410315596,0.03437746611564309
10,0.029785034859932877,0.020657945050950977,0.03750124758319531
11,0.032538604578577705,0.022831433516906245,0.04058596836001715
