unsafe_detection_rate,safe_throughput,false_negative_harm,mean_harm_approved,n_approved,n_rejected,tp,fn,tn,fp,precision,recall,mean_total_friction
1.0,0.1928888888888889,0.0,0.21233527955846182,1736,8264,1000,0,1736,7264,0.12100677637947725,1.0,3.7661584862690907
1.0,0.19255555555555556,0.0,0.22081582434983504,1733,8267,1000,0,1733,7267,0.120962864400629,1.0,3.756796765137079
1.0,0.19777777777777777,0.0,0.21574618558385258,1780,8220,1000,0,1780,7220,0.12165450121654502,1.0,3.7609569380990595
1.0,0.19622222222222221,0.0,0.21400100918188406,1766,8234,1000,0,1766,7234,0.12144765606023804,1.0,3.7601673969779963
0.999,0.19055555555555556,0.7457099664179857,0.20917108660020722,1716,8284,999,1,1715,7285,0.1205939159826171,0.999,3.7586538979743738
0.9995,0.214625,0.5633978454622522,0.211290040795197,1718,8282,1999,1,1717,6283,0.24136681960879014,0.9995,3.765155552055878
0.9985,0.214875,1.8343357474327835,0.2151710180582321,1722,8278,1997,3,1719,6281,0.24124184585648709,0.9985,3.7622569124361127
0.9995,0.212625,0.712133374218147,0.21704148507276325,1702,8298,1999,1,1701,6299,0.24090142202940468,0.9995,3.7657477536139066
0.9985,0.204625,1.618218066456296,0.21243448693972733,1640,8360,1997,3,1637,6363,0.2388755980861244,0.9985,3.771093392304791
0.9995,0.2105,0.7732112205343152,0.21671234686129587,1685,8315,1999,1,1684,6316,0.24040889957907396,0.9995,3.7634033123998605
0.9886666666666667,0.24157142857142858,18.77162688336104,0.21412850648120266,1725,8275,2966,34,1691,5309,0.35842900302114805,0.9886666666666667,3.770143581673607
0.9893333333333333,0.2372857142857143,16.02654133853465,0.21734665766763236,1693,8307,2968,32,1661,5339,0.3572890333453714,0.9893333333333333,3.768437475792256
0.9906666666666667,0.24585714285714286,14.663682576090169,0.20987303163218993,1749,8251,2972,28,1721,5279,0.36019876378620774,0.9906666666666667,3.7602153234537155
0.9876666666666667,0.24171428571428571,20.400044146691602,0.21647893827458767,1729,8271,2963,37,1692,5308,0.3582396324507315,0.9876666666666667,3.7642758027607037
0.989,0.2327142857142857,18.272845609869375,0.21476202401385464,1662,8338,2967,33,1629,5371,0.35584072919165266,0.989,3.768506369227148
1.0,0.192,0.0,0.21165894216524345,1728,8272,1000,0,1728,7272,0.12088974854932302,1.0,3.7645602328352266
1.0,0.19533333333333333,0.0,0.21285705125917123,1758,8242,1000,0,1758,7242,0.12132977432661975,1.0,3.768560379964207
1.0,0.18788888888888888,0.0,0.21533945654097367,1691,8309,1000,0,1691,7309,0.12035142616440005,1.0,3.7672686992555513
1.0,0.1938888888888889,0.0,0.21060067180390799,1745,8255,1000,0,1745,7255,0.12113870381586916,1.0,3.763741071775368
1.0,0.1938888888888889,0.0,0.21373110865107184,1745,8255,1000,0,1745,7255,0.12113870381586916,1.0,3.762426271293276
0.9786666666666667,0.21042857142857144,39.80148237721107,0.22600948694264988,1537,8463,2936,64,1473,5527,0.3469218953089921,0.9786666666666667,3.762854656082172
0.9793333333333333,0.2067142857142857,37.261492163454236,0.22399253916167128,1509,8491,2938,62,1447,5553,0.3460134259804499,0.9793333333333333,3.775550351100025
0.9786666666666667,0.20842857142857144,36.17406374623306,0.2210263267902063,1523,8477,2936,64,1459,5541,0.3463489442019582,0.9786666666666667,3.7740201176125003
0.981,0.21157142857142858,33.97709905048492,0.21982394330095104,1538,8462,2943,57,1481,5519,0.3477901205388797,0.981,3.76568109906397
0.9796666666666667,0.2112857142857143,38.992241273825975,0.220810610322831,1540,8460,2939,61,1479,5521,0.3473995271867612,0.9796666666666667,3.773974494534219
